packet_id,category,expected_choice,seed,pid,trial,policy,baseline_correct,policy_correct,baseline_answer,policy_answer,router_score,threshold
pairwise_router_v119_0015_both_correct_s60603_p107_t2,both_correct,BOTH,60603,107,2,union_rank_top3,True,True,5040,4\sqrt{315},0.9700799761024489,0.4164719054085135
pairwise_router_v119_0016_both_correct_s60603_p107_t6,both_correct,BOTH,60603,107,6,union_rank_top3,True,True,5040,4\sqrt{315},0.9742093635205007,0.4164719054085135
pairwise_router_v119_0017_both_correct_s60603_p107_t7,both_correct,BOTH,60603,107,7,union_rank_top3,True,True,5040,4\sqrt{315},0.8681769209719047,0.4164719054085135
pairwise_router_v119_0018_neither_correct_s60601_p75_t7,neither_correct,NEITHER,60601,75,7,union_rank_top3,False,False,1,334,0.711480514370079,0.6522112366081658
pairwise_router_v119_0019_neither_correct_s60601_p102_t6,neither_correct,NEITHER,60601,102,6,target_intersection_top10,False,False,33,165,0.8514586435152286,0.6522112366081658
pairwise_router_v119_0020_neither_correct_s60602_p46_t3,neither_correct,NEITHER,60602,46,3,target_intersection_top10,False,False,900,504,0.8558451170696372,0.7695955566317789
pairwise_router_v119_0021_neither_correct_s60602_p121_t3,neither_correct,NEITHER,60602,121,3,target_intersection_top20,False,False,2\pi/7,7,0.9371370824205767,0.7695955566317789
pairwise_router_v119_0022_neither_correct_s60602_p124_t2,neither_correct,NEITHER,60602,124,2,target_intersection_top10,False,False,\begin{pmatrix}1\\2\end{pmatrix},7,0.8525999841231111,0.7695955566317789
pairwise_router_v119_0023_neither_correct_s60602_p126_t6,neither_correct,NEITHER,60602,126,6,target_intersection_top20,False,False,1/791,2,0.93255883987364,0.7695955566317789
pairwise_router_v119_0024_neither_correct_s60603_p15_t2,neither_correct,NEITHER,60603,15,2,union_rank_top3,False,False,17-8x,1,0.9961443234553419,0.4164719054085135
pairwise_router_v119_0025_neither_correct_s60603_p19_t7,neither_correct,NEITHER,60603,19,7,union_rank_top3,False,False,0,1,0.6357869213402212,0.4164719054085135
pairwise_router_v119_0026_neither_correct_s60603_p41_t4,neither_correct,NEITHER,60603,41,4,union_rank_top3,False,False,5,54160,0.6422673008673576,0.4164719054085135
pairwise_router_v119_0027_neither_correct_s60603_p50_t2,neither_correct,NEITHER,60603,50,2,union_rank_top3,False,False,2,3,0.8714205519799914,0.4164719054085135
pairwise_router_v119_0028_neither_correct_s60603_p53_t5,neither_correct,NEITHER,60603,53,5,target_intersection_top10,False,False,30,60^{\circ},0.9012460795163841,0.4164719054085135
pairwise_router_v119_0029_neither_correct_s60603_p54_t0,neither_correct,NEITHER,60603,54,0,union_rank_top3,False,False,0,12,0.5367201840798435,0.4164719054085135
pairwise_router_v119_0030_neither_correct_s60603_p56_t5,neither_correct,NEITHER,60603,56,5,target_intersection_top10,False,False,12,36,0.5071966598063723,0.4164719054085135
pairwise_router_v119_0031_neither_correct_s60603_p61_t7,neither_correct,NEITHER,60603,61,7,target_intersection_top20,False,False,1,0,0.6236902756398847,0.4164719054085135
pairwise_router_v119_0032_neither_correct_s60603_p77_t6,neither_correct,NEITHER,60603,77,6,target_intersection_top10,False,False,3,0,0.7601601900148149,0.4164719054085135
pairwise_router_v119_0033_neither_correct_s60603_p78_t6,neither_correct,NEITHER,60603,78,6,union_rank_top3,False,False,0,15,0.8938019733856594,0.4164719054085135
pairwise_router_v119_0034_neither_correct_s60603_p87_t1,neither_correct,NEITHER,60603,87,1,union_rank_top3,False,False,1,0,0.8712898165907997,0.4164719054085135
pairwise_router_v119_0035_neither_correct_s60603_p88_t3,neither_correct,NEITHER,60603,88,3,union_rank_top3,False,False,6,5,0.9657662923929476,0.4164719054085135
pairwise_router_v119_0036_neither_correct_s60603_p94_t5,neither_correct,NEITHER,60603,94,5,target_intersection_top20,False,False,1,109,0.7229250463905081,0.4164719054085135
pairwise_router_v119_0037_neither_correct_s60603_p120_t0,neither_correct,NEITHER,60603,120,0,target_intersection_top10,False,False,36,18,0.7780374982612507,0.4164719054085135
pairwise_router_v119_0038_recovery_s60601_p12_t4,recovery,B,60601,12,4,union_rank_top3,False,True,7/1099,1/83,0.9867590296324982,0.6522112366081658
pairwise_router_v119_0039_recovery_s60601_p27_t0,recovery,B,60601,27,0,union_rank_top3,False,True,3,47/24,0.6943682844904415,0.6522112366081658
pairwise_router_v119_0040_recovery_s60601_p58_t1,recovery,B,60601,58,1,union_rank_top3,False,True,16,4,0.9492548088030315,0.6522112366081658
pairwise_router_v119_0041_recovery_s60601_p100_t0,recovery,B,60601,100,0,union_rank_top3,False,True,90^\circ,108^\circ,0.9334091478623838,0.6522112366081658
pairwise_router_v119_0042_recovery_s60601_p101_t0,recovery,B,60601,101,0,union_rank_top3,False,True,10,16,0.9896697210407427,0.6522112366081658
pairwise_router_v119_0043_recovery_s60602_p43_t3,recovery,B,60602,43,3,target_intersection_top20,False,True,100,50,0.9890727100970111,0.7695955566317789
pairwise_router_v119_0044_recovery_s60603_p7_t4,recovery,B,60603,7,4,union_rank_top3,False,True,13,5,0.656658672150837,0.4164719054085135
pairwise_router_v119_0045_recovery_s60603_p10_t3,recovery,B,60603,10,3,target_intersection_top10,False,True,10,30,0.9986177703317405,0.4164719054085135
pairwise_router_v119_0046_recovery_s60603_p19_t4,recovery,B,60603,19,4,union_rank_top3,False,True,0,-7,0.9571485869857819,0.4164719054085135
pairwise_router_v119_0047_recovery_s60603_p35_t1,recovery,B,60603,35,1,union_rank_top3,False,True,1/36,1/6,0.9948609193068794,0.4164719054085135
pairwise_router_v119_0048_recovery_s60603_p39_t5,recovery,B,60603,39,5,union_rank_top3,False,True,1/64,11/850,0.9541568506310566,0.4164719054085135
pairwise_router_v119_0049_recovery_s60603_p47_t2,recovery,B,60603,47,2,target_intersection_top20,False,True,25,25/3,0.9960705723242697,0.4164719054085135
pairwise_router_v119_0050_recovery_s60603_p79_t5,recovery,B,60603,79,5,union_rank_top3,False,True,1,2,0.9282033898065634,0.4164719054085135
pairwise_router_v119_0051_recovery_s60603_p83_t2,recovery,B,60603,83,2,union_rank_top3,False,True,0,37,0.9625034373497311,0.4164719054085135
pairwise_router_v119_0052_recovery_s60603_p91_t2,recovery,B,60603,91,2,union_rank_top3,False,True,16,6,0.9999590538306646,0.4164719054085135
pairwise_router_v119_0053_recovery_s60603_p94_t1,recovery,B,60603,94,1,union_rank_top3,False,True,1,53,0.966259146479976,0.4164719054085135
pairwise_router_v119_0054_recovery_s60603_p102_t3,recovery,B,60603,102,3,union_rank_top3,False,True,33,330,0.9979227552041983,0.4164719054085135
pairwise_router_v119_0055_recovery_s60603_p107_t3,recovery,B,60603,107,3,union_rank_top3,False,True,5040,4\sqrt{315},0.9707778223913855,0.4164719054085135
pairwise_router_v119_0056_recovery_s60603_p110_t4,recovery,B,60603,110,4,union_rank_top3,False,True,0,6,0.6143958635371977,0.4164719054085135
pairwise_router_v119_0057_recovery_s60603_p111_t2,recovery,B,60603,111,2,target_intersection_top20,False,True,0,32-8\pi,0.9868617208575333,0.4164719054085135
pairwise_router_v119_0058_regression_s60601_p88_t0,regression,A,60601,88,0,union_rank_top3,True,False,1,5,0.920720581058946,0.6522112366081658
pairwise_router_v119_0059_regression_s60602_p18_t4,regression,A,60602,18,4,union_rank_top3,True,False,1/256,-1/16,0.7989659829028017,0.7695955566317789
pairwise_router_v119_0060_regression_s60603_p14_t2,regression,A,60603,14,2,union_rank_top3,True,False,324,289,0.824892391474101,0.4164719054085135
pairwise_router_v119_0061_regression_s60603_p14_t4,regression,A,60603,14,4,union_rank_top3,True,False,324,289,0.5908111873402608,0.4164719054085135
pairwise_router_v119_0062_regression_s60603_p14_t5,regression,A,60603,14,5,union_rank_top3,True,False,324,289,0.8366489650943028,0.4164719054085135
pairwise_router_v119_0063_regression_s60603_p18_t1,regression,A,60603,18,1,union_rank_top3,True,False,1/256,-1/16,0.9797461638237949,0.4164719054085135
pairwise_router_v119_0064_regression_s60603_p18_t2,regression,A,60603,18,2,union_rank_top3,True,False,1/256,-1/16,0.9802500773369479,0.4164719054085135
pairwise_router_v119_0065_regression_s60603_p18_t3,regression,A,60603,18,3,union_rank_top3,True,False,1/256,-1/16,0.9593915702671335,0.4164719054085135
pairwise_router_v119_0066_regression_s60603_p18_t5,regression,A,60603,18,5,union_rank_top3,True,False,1/256,-1/16,0.9772760507459562,0.4164719054085135
pairwise_router_v119_0067_regression_s60603_p18_t6,regression,A,60603,18,6,union_rank_top3,True,False,1/256,-1/16,0.9927503578742002,0.4164719054085135
pairwise_router_v119_0068_regression_s60603_p63_t6,regression,A,60603,63,6,union_rank_top3,True,False,1,2,0.7357574639855228,0.4164719054085135
pairwise_router_v119_0069_regression_s60603_p88_t4,regression,A,60603,88,4,union_rank_top3,True,False,1,5,0.9199144358715624,0.4164719054085135
pairwise_router_v119_0070_regression_s60603_p107_t4,regression,A,60603,107,4,target_intersection_top10,True,False,5040,21,0.783467965296275,0.4164719054085135
pairwise_router_v119_0071_regression_s60603_p112_t0,regression,A,60603,112,0,union_rank_top3,True,False,25,4,0.7446520159410153,0.4164719054085135
pairwise_router_v119_0072_regression_s60603_p112_t1,regression,A,60603,112,1,union_rank_top3,True,False,25,16,0.7831213369186139,0.4164719054085135
pairwise_router_v119_0073_regression_s60603_p112_t2,regression,A,60603,112,2,union_rank_top3,True,False,25,1,0.6823940325164349,0.4164719054085135
pairwise_router_v119_0074_regression_s60603_p112_t3,regression,A,60603,112,3,union_rank_top3,True,False,25,4,0.8294992106226997,0.4164719054085135
pairwise_router_v119_0075_regression_s60603_p112_t4,regression,A,60603,112,4,union_rank_top3,True,False,25,16,0.8254346201535978,0.4164719054085135
pairwise_router_v119_0076_regression_s60603_p112_t5,regression,A,60603,112,5,union_rank_top3,True,False,25,4,0.7569961233765228,0.4164719054085135
pairwise_router_v119_0077_regression_s60603_p112_t6,regression,A,60603,112,6,union_rank_top3,True,False,25,4,0.9270847468644586,0.4164719054085135
